;Title;Rating;TotalVotes;Genre;CVotesMale;CVotesFemale
98;The King's Speech†(2010);8;540,24;1;†339153;†108830
99;The Lego Movie†(2014);7.8;271,515;6;†180122;†37351
100;The Little Prince†(2015);7.8;40,777;6;†22441;†9552
101;The Martian†(2015);8;569,347;2;†359265;†71421
102;The Perks of Being a Wallflower†(2012);8;382,665;4;†202178;†108832
103;The Revenant†(2015);8;512,526;2;†323938;†61051
104;The Social Network†(2010);7.7;516,417;1;†351608;†84711
105;The Theory of Everything†(2014);7.7;305,145;1;†174408;†67669
106;The Town†(2010);7.6;297,426;7;†226697;†31345
107;The Wolf of Wall Street†(2013);8.2;881,984;1;†559564;†123698
108;Toy Story 3†(2010);8.3;596,385;6;†389014;†98386
109;True Grit†(2010);7.6;257,67;2;†197105;†27125
110;Tucker and Dale vs Evil†(2010);7.6;138,624;3;†106144;†15113
111;Tyrannosaur†(2011);7.6;26,016;4;†19827;†3649
112;Warrior†(2011);8.2;361,049;5;†270734;†31075
113;What We Do in the Shadows†(2014);7.6;87,975;3;†57028;†15840
114;Whiplash†(2014);8.5;492,285;4;†308900;†71066
115;Wreck-It Ralph†(2012);7.7;295,125;6;†190983;†50202
116;X-Men: Days of Future Past†(2014);8;560,736;5;†370835;†71008
117;X-Men: First Class†(2011);7.8;556,713;5;†382107;†80444
118;Zootopia†(2016);8.1;309,474;6;†176202;†52345
